voynich_word,profile,candidates,confidence
okalol,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qotshdy,Generic Herb,Generic,Low
qotchd,Generic Herb,Generic,Low
alkain,Generic Herb,Generic,Low
ckhar,Generic Herb,Generic,Low
rchy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
kechy,Generic Herb,Generic,Low
qotchody,Generic Herb,Generic,Low
chary,Generic Herb,Generic,Low
oro,Generic Herb,Generic,Low
qoeees,Generic Herb,Generic,Low
otaiir,Generic Herb,Generic,Low
chkol,Generic Herb,Generic,Low
choar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
darar,Generic Herb,Generic,Low
ycheoky,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
che?l,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olkchey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chokchey,Generic Herb,Generic,Low
ok??y,Generic Herb,Generic,Low
qolaiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
aldaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
sheodal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okshedy,Generic Herb,Generic,Low
okechdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otoky,Generic Herb,Generic,Low
oin,Generic Herb,Generic,Low
dolchedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
okeodar,Generic Herb,Generic,Low
cheyky,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qoeeedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
ychedar,Generic Herb,Generic,Low
qockheey,Generic Herb,Generic,Low
alky,Generic Herb,Generic,Low
okom,Generic Herb,Generic,Low
ch?,Generic Herb,Generic,Low
dady,Generic Herb,Generic,Low
chochy,Generic Herb,Generic,Low
qos,Generic Herb,Generic,Low
opydaiin,Generic Herb,Generic,Low
ytshy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
shotchy,Generic Herb,Generic,Low
oal,Generic Herb,Generic,Low
otch,Generic Herb,Generic,Low
okoly,Generic Herb,Generic,Low
ocphy,Generic Herb,Generic,Low
ykcheor,Generic Herb,Generic,Low
poraiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
sheeody,Generic Herb,Generic,Low
ota?,Generic Herb,Generic,Low
ykchody,Generic Herb,Generic,Low
a,Generic Herb,Generic,Low
qotcheedy,Generic Herb,Generic,Low
kcheo,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qekchdy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
qoiiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
lkeo,Generic Herb,Generic,Low
ofchey,Generic Herb,Generic,Low
choshy,Generic Herb,Generic,Low
kshar,Generic Herb,Generic,Low
as,Generic Herb,Generic,Low
v,Generic Herb,Generic,Low
otalar,Generic Herb,Generic,Low
otalor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okalor,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
okalchy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
sheek,Generic Herb,Generic,Low
oteeedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
opcheody,Generic Herb,Generic,Low
darol,Generic Herb,Generic,Low
qoeol,Generic Herb,Generic,Low
qoteeo,Generic Herb,Generic,Low
qoedaiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chetain,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qodair,Generic Herb,Generic,Low
chckhol,Generic Herb,Generic,Low
qotoiin,Generic Herb,Generic,Low
kshody,Generic Herb,Generic,Low
oeeo,Generic Herb,Generic,Low
rodaiin,Generic Herb,Generic,Low
odl,Generic Herb,Generic,Low
orom,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qodam,Generic Herb,Generic,Low
daror,Generic Herb,Generic,Low
cheoy,Generic Herb,Generic,Low
dykaiin,Generic Herb,Generic,Low
ofchy,Generic Herb,Generic,Low
ctholy,Generic Herb,Generic,Low
chtar,Generic Herb,Generic,Low
opam,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otchos,Generic Herb,Generic,Low
ch?ky,Generic Herb,Generic,Low
yk,Generic Herb,Generic,Low
otodar,Generic Herb,Generic,Low
ch?dy,Generic Herb,Generic,Low
okolchy,Generic Herb,Generic,Low
chekody,Generic Herb,Generic,Low
otcheey,Generic Herb,Generic,Low
checthey,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oair,Generic Herb,Generic,Low
ytchody,Generic Herb,Generic,Low
tedain,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
shodol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
shodal,Generic Herb,Generic,Low
pchal,Generic Herb,Generic,Low
otalal,Generic Herb,Generic,Low
oleeey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
raral,Generic Herb,Generic,Low
dairody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okcheody,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
okolshy,Generic Herb,Generic,Low
ch,Generic Herb,Generic,Low
ykeeos,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otalam,Generic Herb,Generic,Low
dalkar,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
pshedy,Generic Herb,Generic,Low
shdal,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
cheokaiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
opdaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
sheom,Generic Herb,Generic,Low
chckhaiin,Generic Herb,Generic,Low
qoeeody,Generic Herb,Generic,Low
lkeeo,Generic Herb,Generic,Low
lcheo,Generic Herb,Generic,Low
sa,Generic Herb,Generic,Low
ok,Generic Herb,Generic,Low
loeees,Generic Herb,Generic,Low
cholo,Generic Herb,Generic,Low
qopchor,Generic Herb,Generic,Low
eeor,Generic Herb,Generic,Low
otan,Generic Herb,Generic,Low
ch?r,Generic Herb,Generic,Low
dm,Generic Herb,Generic,Low
cholor,Generic Herb,Generic,Low
qokchod,Generic Herb,Generic,Low
oeear,Generic Herb,Generic,Low
cheen,Generic Herb,Generic,Low
odol,Generic Herb,Generic,Low
choraiin,Generic Herb,Generic,Low
ydal,Generic Herb,Generic,Low
fol,Generic Herb,Generic,Low
sody,Generic Herb,Generic,Low
chcthody,Generic Herb,Generic,Low
ch?y,Generic Herb,Generic,Low
qokeees,Generic Herb,Generic,Low
che??,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
qoteedar,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
sholy,Generic Herb,Generic,Low
otcheor,Generic Herb,Generic,Low
pair,Generic Herb,Generic,Low
choror,Generic Herb,Generic,Low
cpheo,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
cholky,Generic Herb,Generic,Low
opchal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
lain,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
shokeey,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
ypair,Generic Herb,Generic,Low
chokam,Generic Herb,Generic,Low
sheekar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qokcheody,Generic Herb,Generic,Low
shoar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otos,Generic Herb,Generic,Low
pcheodar,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
olkeechy,Generic Herb,Generic,Low
cheotey,Generic Herb,Generic,Low
qotedal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qokaiir,Generic Herb,Generic,Low
chckhd,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
dalaiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
shkeey,Generic Herb,Generic,Low
alain,Generic Herb,Generic,Low
olkchdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otches,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qoeeor,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
olkees,Generic Herb,Generic,Low
chkchol,Generic Herb,Generic,Low
olchor,Generic Herb,Generic,Low
olkeeedy,Generic Herb,Generic,Low
shan,Generic Herb,Generic,Low
qoteeey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qopal,Generic Herb,Generic,Low
daiim,Generic Herb,Generic,Low
kchoy,Generic Herb,Generic,Low
kcheor,Generic Herb,Generic,Low
otshol,Generic Herb,Generic,Low
chcfhey,Generic Herb,Generic,Low
qokcheo,Generic Herb,Generic,Low
chotshol,Generic Herb,Generic,Low
olshy,Generic Herb,Generic,Low
okshor,Generic Herb,Generic,Low
qokoldy,Generic Herb,Generic,Low
ot?l,Generic Herb,Generic,Low
tchos,Generic Herb,Generic,Low
ykeos,Generic Herb,Generic,Low
cheekaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chechey,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
sheokey,Generic Herb,Generic,Low
sodal,Generic Herb,Generic,Low
arodl,Generic Herb,Generic,Low
lchar,Generic Herb,Generic,Low
tshedar,Generic Herb,Generic,Low
chcthhy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
teo,Generic Herb,Generic,Low
ockhody,Generic Herb,Generic,Low
cheeal,Generic Herb,Generic,Low
ld,Generic Herb,Generic,Low
todal,Generic Herb,Generic,Low
qokeeos,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chekchy,Generic Herb,Generic,Low
o?eey,Generic Herb,Generic,Low
shsdy,Generic Herb,Generic,Low
kas,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
otedam,Generic Herb,Generic,Low
lcheody,Generic Herb,Generic,Low
okchdar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cthes,Generic Herb,Generic,Low
ch?l,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ok??,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qoeor,Generic Herb,Generic,Low
ytchoy,Generic Herb,Generic,Low
kchody,Generic Herb,Generic,Low
cheotol,Generic Herb,Generic,Low
chopchey,Generic Herb,Generic,Low
cheain,Generic Herb,Generic,Low
che?y,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chodey,Generic Herb,Generic,Low
che?r,Generic Herb,Generic,Low
shcphy,Generic Herb,Generic,Low
yol,Generic Herb,Generic,Low
fchol,Generic Herb,Generic,Low
dyky,Generic Herb,Generic,Low
okchal,Generic Herb,Generic,Low
otchdal,Generic Herb,Generic,Low
ofchar,Generic Herb,Generic,Low
otchaiin,Generic Herb,Generic,Low
oeeeos,Generic Herb,Generic,Low
okedor,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qokchody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oltchy,Generic Herb,Generic,Low
soin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
okchaiin,Generic Herb,Generic,Low
pcheeody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qot?r,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qorain,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chckh?y,Generic Herb,Generic,Low
chochor,Generic Herb,Generic,Low
cheg,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
dchdar,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
ytodaiin,Generic Herb,Generic,Low
pshdar,Generic Herb,Generic,Low
otedol,Generic Herb,Generic,Low
olos,Generic Herb,Generic,Low
otchodar,Generic Herb,Generic,Low
chokaly,Generic Herb,Generic,Low
pochedy,Generic Herb,Generic,Low
cpheody,Generic Herb,Generic,Low
orcheey,Generic Herb,Generic,Low
otsho,Generic Herb,Generic,Low
tchedor,Generic Herb,Generic,Low
chdol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
dchos,Generic Herb,Generic,Low
arary,Generic Herb,Generic,Low
pdaiin,Generic Herb,Generic,Low
san,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
okydy,Generic Herb,Generic,Low
cheols,Generic Herb,Generic,Low
ypaiin,Generic Herb,Generic,Low
okeeom,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
chokeedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oteedal,Generic Herb,Generic,Low
saly,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
otaraiin,Generic Herb,Generic,Low
qofchdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
opcheor,Generic Herb,Generic,Low
chool,Generic Herb,Generic,Low
qkeody,Generic Herb,Generic,Low
podar,Generic Herb,Generic,Low
qokedain,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
alkeedy,Generic Herb,Generic,Low
okay,Generic Herb,Generic,Low
koshey,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
lchody,Generic Herb,Generic,Low
cha,Generic Herb,Generic,Low
olsy,Generic Herb,Generic,Low
chotols,Generic Herb,Generic,Low
qoos,Generic Herb,Generic,Low
chotain,Generic Herb,Generic,Low
choto,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
choor,Generic Herb,Generic,Low
chykchy,Generic Herb,Generic,Low
kaiiin,Generic Herb,Generic,Low
otydy,Generic Herb,Generic,Low
shkchy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oir,Generic Herb,Generic,Low
o?y,Generic Herb,Generic,Low
chokshor,Generic Herb,Generic,Low
tcheor,Generic Herb,Generic,Low
dalchy,Generic Herb,Generic,Low
doiiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chetody,Generic Herb,Generic,Low
qopcheody,Generic Herb,Generic,Low
fcholdy,Generic Herb,Generic,Low
opchar,Generic Herb,Generic,Low
odai?n,Generic Herb,Generic,Low
shkeeo,Generic Herb,Generic,Low
chocphy,Generic Herb,Generic,Low
kchaiin,Generic Herb,Generic,Low
chepar,Generic Herb,Generic,Low
podair,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
shs,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
"o,aiin",Generic Herb,Generic,Low
qokchaiin,Generic Herb,Generic,Low
chkaly,Generic Herb,Generic,Low
ofy,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
olkedaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qokaim,Generic Herb,Generic,Low
otoy,Generic Herb,Generic,Low
old,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
odeedy,Generic Herb,Generic,Low
aldar,Generic Herb,Generic,Low
o?al,Generic Herb,Generic,Low
chcth?y,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
okas,Generic Herb,Generic,Low
kchdal,Generic Herb,Generic,Low
tockhy,Generic Herb,Generic,Low
dshody,Generic Herb,Generic,Low
chpal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
tchoky,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qokcheey,Generic Herb,Generic,Low
chorol,Generic Herb,Generic,Low
karody,Generic Herb,Generic,Low
okalody,Generic Herb,Generic,Low
otaim,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
okalchedy,Generic Herb,Generic,Low
olam,Generic Herb,Generic,Low
oekey,Generic Herb,Generic,Low
otcheody,Generic Herb,Generic,Low
okady,Generic Herb,Generic,Low
okeodal,Generic Herb,Generic,Low
charam,Generic Herb,Generic,Low
oteoldy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
soral,Generic Herb,Generic,Low
dched,Generic Herb,Generic,Low
sokeey,Generic Herb,Generic,Low
cpheol,Generic Herb,Generic,Low
pshodaiin,Generic Herb,Generic,Low
chdaly,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
dairy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
oldain,Generic Herb,Generic,Low
odan,Generic Herb,Generic,Low
okodar,Generic Herb,Generic,Low
otoaiin,Generic Herb,Generic,Low
chodair,Generic Herb,Generic,Low
chapchy,Generic Herb,Generic,Low
chokody,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
cholols,Generic Herb,Generic,Low
oteeam,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
cho?y,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oiir,Generic Herb,Generic,Low
chofchy,Generic Herb,Generic,Low
chsey,Generic Herb,Generic,Low
ch???,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
doaiin,Generic Herb,Generic,Low
okald,Generic Herb,Generic,Low
chckhhy,Generic Herb,Generic,Low
shtshy,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
chop,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
ychody,Generic Herb,Generic,Low
ok?r,Generic Herb,Generic,Low
chcthal,Generic Herb,Generic,Low
odaiir,Generic Herb,Generic,Low
olchar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otchm,Generic Herb,Generic,Low
otch?,Generic Herb,Generic,Low
qoear,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chsky,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
pchodar,Generic Herb,Generic,Low
qopchar,Generic Herb,Generic,Low
choko,Generic Herb,Generic,Low
olsheor,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
o?edy,Generic Herb,Generic,Low
als,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
kcheodaiin,Generic Herb,Generic,Low
loiin,Generic Herb,Generic,Low
qokeeaiin,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
podaiir,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
tedo,Generic Herb,Generic,Low
pchedain,Generic Herb,Generic,Low
sheeeky,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
pchdol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
lory,Generic Herb,Generic,Low
olaiir,Generic Herb,Generic,Low
oteoly,Generic Herb,Generic,Low
oltshey,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
lchdal,Generic Herb,Generic,Low
orai?n,Generic Herb,Generic,Low
c,Generic Herb,Generic,Low
oteeoaly,Generic Herb,Generic,Low
qokalor,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oekeody,Generic Herb,Generic,Low
salol,Generic Herb,Generic,Low
oreeey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okeeam,Generic Herb,Generic,Low
chady,Generic Herb,Generic,Low
sheodaly,Generic Herb,Generic,Low
okeoldy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
ytedar,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cholkeedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cheok,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
otalsy,Generic Herb,Generic,Low
keeeol,Generic Herb,Generic,Low
opchody,Generic Herb,Generic,Low
toky,Generic Herb,Generic,Low
tshod,Generic Herb,Generic,Low
chctham,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
kshed,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
qokeeod,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cheokeol,Generic Herb,Generic,Low
olsho,Generic Herb,Generic,Low
qoeeol,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oaiir,Generic Herb,Generic,Low
pcheo,Generic Herb,Generic,Low
okedain,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
pchodain,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
kchom,Generic Herb,Generic,Low
ochar,Generic Herb,Generic,Low
otoiin,Generic Herb,Generic,Low
qokoy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
ochody,Generic Herb,Generic,Low
oykeey,Generic Herb,Generic,Low
ololdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oeor,Generic Herb,Generic,Low
chefchy,Generic Herb,Generic,Low
olchdaiin,Generic Herb,Generic,Low
chosar,Generic Herb,Generic,Low
taraiin,Generic Herb,Generic,Low
opches,Generic Herb,Generic,Low
ofair,Generic Herb,Generic,Low
chotair,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
choeky,Generic Herb,Generic,Low
chockhdy,Generic Herb,Generic,Low
chokai?n,Generic Herb,Generic,Low
chodr,Generic Herb,Generic,Low
chcfhy,Generic Herb,Generic,Low
chokeeody,Generic Herb,Generic,Low
opchear,Generic Herb,Generic,Low
ockhol,Generic Herb,Generic,Low
yair,Generic Herb,Generic,Low
xar,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
sher,Generic Herb,Generic,Low
oteom,Generic Herb,Generic,Low
chepchey,Generic Herb,Generic,Low
okyd,Generic Herb,Generic,Low
otcheo,Generic Herb,Generic,Low
okchdal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheorol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okeeeody,Generic Herb,Generic,Low
otoar,Generic Herb,Generic,Low
cholkal,Generic Herb,Generic,Low
cheary,Generic Herb,Generic,Low
